model,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
cnnv2,0.9056,0.9053472825217075,0.9056000000000001,0.9052225238982702
baseline,0.7717,0.7698694346688066,0.7717,0.7702937133764738
